,Country_Region,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Last_Update
436,Mexico,Yucatan,20.7099,-89.0943,75711,5719,0,1640596874000.0
437,Mexico,Zacatecas,22.7709,-102.5832,42631,3444,0,1640596874000.0
438,Micronesia,,7.4256,150.5508,1,0,0,1640596874000.0
439,Moldova,,47.4116,28.3699,374526,9613,0,1640596874000.0
440,Monaco,,43.7333,7.4167,4766,38,0,1640596874000.0
441,Mongolia,,46.8625,103.8467,388598,2055,0,1640596874000.0
442,Montenegro,,42.708678,19.37439,163373,2394,0,1640596874000.0
443,Morocco,,31.7917,-7.0926,956119,14828,0,1640596874000.0
444,Mozambique,,-18.665695,35.529562,171502,1968,0,1640596874000.0
445,Namibia,,-22.9576,18.4904,145637,3610,0,1640596874000.0
446,Nepal,,28.1667,84.25,827271,11585,0,1640596874000.0
447,Netherlands,Aruba,12.5211,-69.9683,17648,181,0,1640596874000.0
448,Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,3277,23,0,1640596874000.0
449,Netherlands,Curacao,12.1696,-68.99,19049,186,0,1640596874000.0
450,Netherlands,Drenthe,52.862485,6.618435,61980,413,0,1640596874000.0
451,Netherlands,Flevoland,52.550383,5.515162,70853,303,0,1640596874000.0
452,Netherlands,Friesland,53.087337,5.7925,95460,575,0,1640596874000.0
453,Netherlands,Gelderland,52.061738,5.939114,350452,2557,0,1640596874000.0
454,Netherlands,Groningen,53.217922,6.741514,73938,328,0,1640596874000.0
455,Netherlands,Limburg,51.209227,5.93387,226357,2030,0,1640596874000.0
456,Netherlands,Noord-Brabant,51.561174,5.184942,470102,3519,0,1640596874000.0
457,Netherlands,Noord-Holland,52.600906,4.918688,503643,3071,0,1640596874000.0
458,Netherlands,Overijssel,52.444558,6.441722,197797,1325,0,1640596874000.0
459,Netherlands,Sint Maarten,18.0425,-63.0548,4774,75,0,1640596874000.0
460,Netherlands,Unknown,,,14458,19,0,1640596874000.0
461,Netherlands,Utrecht,52.084251,5.163824,240610,1450,0,1640596874000.0
462,Netherlands,Zeeland,51.47936,3.861559,62900,296,0,1640596874000.0
463,Netherlands,Zuid-Holland,51.937835,4.462114,696460,4830,0,1640596874000.0
464,New Zealand,,-40.9006,174.886,13899,50,0,1640596874000.0
465,New Zealand,Cook Islands,-21.2367,-159.7777,2,0,0,1640596874000.0
466,Nicaragua,,12.865416,-85.207229,17442,216,0,1640596874000.0
467,Niger,,17.607789,8.081666,7271,274,0,1640596874000.0
468,Nigeria,,9.082,8.6753,237561,3022,0,1640596874000.0
469,North Macedonia,,41.6086,21.7453,223211,7904,0,1640596874000.0
470,Norway,,60.472,8.4689,374337,1257,0,1640596874000.0
471,Oman,,21.512583,55.923255,305174,4114,0,1640596874000.0
472,Pakistan,Azad Jammu and Kashmir,34.027401,73.947253,34657,746,0,1640596874000.0
473,Pakistan,Balochistan,28.328492,65.898403,33624,363,0,1640596874000.0
474,Pakistan,Gilgit-Baltistan,35.792146,74.982138,10429,186,0,1640596874000.0
