Country,Confirmed,Deaths,Hosp_patients,Vaccinations,Vaccinated_Once,Vaccinated_Full,Vaccinated_Booster,Date
United Kingdom,24141.0,65.0,5982.0,139276.0,46837614.0,38440215.0,0.0,01_08_2021
United Kingdom,25760.0,72.0,5958.0,250840.0,46816382.0,38322171.0,0.0,31_07_2021
United Kingdom,29294.0,68.0,6019.0,207820.0,46777556.0,38110157.0,0.0,30_07_2021
United Kingdom,30724.0,85.0,5986.0,222271.0,46740832.0,37939061.0,0.0,29_07_2021
United Kingdom,25512.0,127.0,6107.0,215020.0,46698479.0,37759143.0,0.0,28_07_2021
United Kingdom,23362.0,131.0,6098.0,187052.0,46654632.0,37587970.0,0.0,27_07_2021
United Kingdom,24741.0,14.0,6004.0,178955.0,46619230.0,37436320.0,0.0,26_07_2021
United Kingdom,28656.0,28.0,5648.0,142507.0,46589211.0,37287384.0,0.0,25_07_2021
United Kingdom,31291.0,86.0,5379.0,247691.0,46564660.0,37169428.0,0.0,24_07_2021
United Kingdom,35841.0,64.0,5312.0,232315.0,46520855.0,36965542.0,0.0,23_07_2021
United Kingdom,39570.0,84.0,5102.0,232333.0,46477881.0,36776201.0,0.0,22_07_2021
United Kingdom,43623.0,73.0,4930.0,228439.0,46433845.0,36587904.0,0.0,21_07_2021
United Kingdom,46429.0,96.0,4742.0,200314.0,46388744.0,36404566.0,0.0,20_07_2021
United Kingdom,40394.0,19.0,4651.0,179230.0,46349709.0,36243287.0,0.0,19_07_2021
United Kingdom,47599.0,25.0,4347.0,147064.0,46314039.0,36099727.0,0.0,18_07_2021
United Kingdom,53980.0,41.0,4231.0,292431.0,46295853.0,35970849.0,0.0,17_07_2021
United Kingdom,51485.0,49.0,4151.0,271805.0,46228636.0,35745635.0,0.0,16_07_2021
United Kingdom,48173.0,63.0,4038.0,263574.0,46159145.0,35543321.0,0.0,15_07_2021
United Kingdom,41960.0,49.0,3857.0,246035.0,46097464.0,35341428.0,0.0,14_07_2021
United Kingdom,36443.0,50.0,3673.0,217349.0,46037090.0,35155767.0,0.0,13_07_2021
United Kingdom,34455.0,6.0,3458.0,179656.0,45978017.0,34997491.0,0.0,12_07_2021
United Kingdom,31352.0,26.0,3182.0,149620.0,45923721.0,34872131.0,0.0,11_07_2021
United Kingdom,31800.0,34.0,3036.0,305209.0,45881721.0,34764511.0,0.0,10_07_2021
United Kingdom,35504.0,29.0,2939.0,268902.0,45787958.0,34553065.0,0.0,09_07_2021
United Kingdom,32080.0,35.0,2768.0,271897.0,45697875.0,34374246.0,0.0,08_07_2021
United Kingdom,32048.0,33.0,2681.0,258430.0,45601445.0,34198779.0,0.0,07_07_2021
United Kingdom,28611.0,37.0,2486.0,238937.0,45514492.0,34027302.0,0.0,06_07_2021
United Kingdom,27100.0,9.0,2364.0,224776.0,45428681.0,33874176.0,0.0,05_07_2021
United Kingdom,23824.0,15.0,2178.0,188632.0,45351719.0,33726362.0,0.0,04_07_2021
United Kingdom,24447.0,18.0,2058.0,333598.0,45274497.0,33614952.0,0.0,03_07_2021
United Kingdom,26773.0,27.0,2014.0,301083.0,45137108.0,33418743.0,0.0,02_07_2021
United Kingdom,27621.0,22.0,1937.0,345591.0,45013503.0,33241265.0,0.0,01_07_2021
United Kingdom,25667.0,14.0,1827.0,316965.0,44860978.0,33048199.0,0.0,30_06_2021
United Kingdom,20252.0,23.0,1748.0,288679.0,44719762.0,32872450.0,0.0,29_06_2021
United Kingdom,22717.0,3.0,1745.0,265276.0,44581771.0,32721762.0,0.0,28_06_2021
